video_id,comment,author,language,sport
QRd6Ne3mQQA,I am Turkish and I am proud of Yusuf Dikeç,@user-ew5kw7pb7i,en,
eqpsvgrfW68,"13th place beat Olympic Record 🥶
This Decade is the Best thing that happened to Middle and long distance running EVER",@filipe_paixao,en,cycling
eqpsvgrfW68,I am still watching it and getting goosebumps. The best race of the olympics and one the best races ever!,@clipzy264,en,cycling
eqpsvgrfW68,Muhteşem ❤,@muratyumusakkaya888,ro,cycling
eqpsvgrfW68,Fitcher was the only white its impossible to win them they are born to run from the crocodiles and lions in the deep African Jungle.,@nsensei2112,en,cycling
eqpsvgrfW68,"..and despite the horribly humid, hot, asphyxiating conditions thirteen lucky-for-some athletes broke the Olympic record and ran as if they were breathing pure oxygen..",@paulgovan3507,en,cycling
eqpsvgrfW68,That was brutal. hats off to all of them. And to have the stamina to sprint the last 500m is nuts,@GoooObama08,en,cycling
eqpsvgrfW68,Well done mohammed ahmed my somali brother,@mustafaahmed4035,en,cycling
eqpsvgrfW68,What the hell was Aregawi's finishing kick! Overtook 5 guys within the last 9 seconds. Respect!!,@IAmOHMSS,en,cycling
eqpsvgrfW68,Love east African athletes. I hope they win always. ❤ From India,@6string86,en,cycling
eqpsvgrfW68,how is it possible that in 4 years a dozen of lads could have break the olympic record?,@lorenzocomensoliantonini1966,en,cycling
I8X_TkiarKw,20 years old!,@JasTheKariol,en,cycling
I8X_TkiarKw,Arop started attacking too late and lost the coveted Olympic gold.,@akimbohr,en,cycling
I8X_TkiarKw,Arop could beat the wr. He run over lane 2.,@sinistre1976,en,cycling
I8X_TkiarKw,Test the boy 😂,@jokuheppu3920,en,cycling
I8X_TkiarKw,"Algeria beating france, haha, how ironic",,en,cycling
I8X_TkiarKw,Wanyonyi from the beginning....and he pushed it till the end!Best race ever,@chenaigumbo7624,en,cycling
I8X_TkiarKw,"I couldnt watch all the events just catching up but i heard of the American hoppel. Never even heard if the kenyan or Algerian, but it sure was a great race. The NBC was more focused on The women's 800m and that gal from GB Hodgkinson.",@lingnguyen2623,en,cycling
I8X_TkiarKw,Hoppel with big H. Hoppel can still win bronze because Sedjati is under investigation. Possibly a doper.,@michael46,en,cycling
I8X_TkiarKw,"​@@michael46Ever Argelia, ever 800",@angelmoreno6577,nl,cycling
I8X_TkiarKw,"I really thought Sedjati would take it 😮

I think He should have started the overtake a bit sooner 💯",@rellrylio5567,en,cycling
I8X_TkiarKw,second breath jusr knocking at the door.,@alexsuper1566,en,cycling
I8X_TkiarKw,"it is ""wonderfull"" distance. you feel your legs so much. lactic acid.",@alexsuper1566,en,cycling
Pf1Ap5Cl0Mg,Would have been WR if the last us girl didnt step off the gas the last 5-10 m. so stupid..,@rn85bn2,en,cycling
Pf1Ap5Cl0Mg,ова Фемке тура па не вади,@aleksandarlombauer4102,mk,cycling
Pf1Ap5Cl0Mg,"dont think even if they had x4 Bols, it would have worked out this time.",@saiyanveg,en,cycling
Pf1Ap5Cl0Mg,"bol is the best , soon record will break by bol",@arnoschuiling,en,cycling
Pf1Ap5Cl0Mg,Becker of Ireland ... <3 but what happened to Jamaica?,@pandaplutten2573,en,cycling
Pf1Ap5Cl0Mg,Can somebody please tell me how the camera operator can move smoothly between each athlete without the footage jumping up and down? It looks like the visits to each runner was by foot.,@everettscott4745,en,cycling
Pf1Ap5Cl0Mg,Dutch took 1st ...,@mbdulka,en,cycling
Pf1Ap5Cl0Mg,Love you total. Never underdog❤  we normal?,@user-ok2gk9nx8o,en,cycling
Pf1Ap5Cl0Mg,"Bol, bever able to defeat Sydney!",@flaviopolli9402,en,cycling
Pf1Ap5Cl0Mg,The gap between USA and the rest of the rest of the competitors in this 4X400 race represent USA’s dominance and gap between the rest of the world this Paris Olympics,@tottifreeman,en,cycling
4hJyZLU2nIo,"Doping doping doping , this game is the biggest lie supported by all sportswear companies also by IAAF",@AlibRecovery,en,cycling
4hJyZLU2nIo,Incredible,@glenr4026,en,cycling
4hJyZLU2nIo,Ingebrigtsen burnt himself out too early.,@SnoopyDoofie,en,cycling
4hJyZLU2nIo,Just shows Ingebrigtsen is different class. He gave Hocker a gold medal and PB. He couldn't do that on his own.,@inthebox7752,en,cycling
4hJyZLU2nIo,Cheruiyot is and will always be the best,@LorisVillani,en,cycling
4hJyZLU2nIo,جاكوب لا يمتلك الحكمة.,@mouradelmzandi9635,ar,cycling
4hJyZLU2nIo,What a race  dont forget to look at  niels laros just a few months 19 years old,@barrygroot9833,en,cycling
4hJyZLU2nIo,What next? Lions chasing them around the track?,@ryand141,en,cycling
4hJyZLU2nIo,"Jacob made a massive tactical mistake, but not in a way many think.

The logic behind taking the early lead and setting the pace because his ending is not the strongest was solid. The mistake was that he kept it so steady. 

What he should have done is to change rhythms in the lead, accelerate and slow down every 50-100 meters. This would have caused the following group to bump into each other, lose their own rhythm and expend their energy. This way Jakob might have been able to hold them off in the end. Now he thought he could simply escape from everybody",@janneromppainen977,en,cycling
4hJyZLU2nIo,The commentators make it,@andys2856,en,cycling
z4p0Jw3U8zc,Watch all the #Paris2024 🤸 Artistic Gymnastics action ➡ https://go.olympics.com/watch,@Olympics,en,
z4p0Jw3U8zc,Weissnat Mills,@LloydYehudi-w6p,de,
z4p0Jw3U8zc,Delilah Ways,@AlfredAlbert-c2s,so,
z4p0Jw3U8zc,Araceli Throughway,@BenjaminHunter-p9u,en,
z4p0Jw3U8zc,Kautzer Gateway,@RobertCarry-h4c,de,
z4p0Jw3U8zc,Kautzer Route,@JuddBeatrice-c3e,de,
z4p0Jw3U8zc,21583 Alvis Landing,@GalbraithWilliam,en,
z4p0Jw3U8zc,When I was a kid I have always Was eager to explore the world around me and always winning in correctly,@TiB-up1pb,en,
z4p0Jw3U8zc,0:41 I SEE ARIANAAAAAA!!!!,@Edwardctk,en,
z4p0Jw3U8zc,"0:41 I think it's Ariana Grande, pls tell me if you know its her bcs I didn't watch all of the olympics bcs I'm in the Southern Hemisphere",@evelynlord6020,en,
R8ytlI2ohS4,Abd bayrak yarışından elendimi?,@neseide5507,tr,cycling
R8ytlI2ohS4,Canada proved that this is a team effort. Same team won silver in Tokyo and 3 of them won Bronze in Rio.,@dimitriskazantzidis7718,en,cycling
R8ytlI2ohS4,Where was Jamaika,@blakcjesus5056,en,cycling
R8ytlI2ohS4,Nobody can stop the A-Train!!!,@jotaframo,en,cycling
R8ytlI2ohS4,"‘The Americans are flying!’ No, they were terrible… again",@paulblonk5819,en,cycling
R8ytlI2ohS4,Great running really ! 😍,@rosh1045,en,cycling
R8ytlI2ohS4,"In case you didn't notice, Canada won the gold !! 😂",@enverahmet3371,en,cycling
R8ytlI2ohS4,"Hey Noah, did you know that there was a team here possessed by an owl spirit?🦉",@MAAF808,en,cycling
R8ytlI2ohS4,The hatred that Brit commentators have for South Africa has been clear since the   brilliant fifa 2010 World Cup. Its disgusting that South Africa was mentioned once in the race while they were obvious contenders,@happyclappy1805,en,cycling
R8ytlI2ohS4,All the European countries wheel out the Black people for sports events! Where would the athletics world be without people of African descent?!,@happyclappy1805,en,cycling
kzLl4hT9FAU,This man is phenomenal,@johnsullivan2652,en,cycling
kzLl4hT9FAU,Norwegians are so good at endurance sports in general .,@pipinggpipingg1487,en,cycling
kzLl4hT9FAU,Absolutely THE BEST 5000m runner. World record is waiting.,@jesusespanacobo5571,en,cycling
kzLl4hT9FAU,There are so many factors that determine who wins on the day. He was the best in the world on this occasion - unpredictability is a key part of sport's entertainment value.,@paulgovan3507,en,cycling
kzLl4hT9FAU,Grande jakob,@riccardolucchetti1087,hr,cycling
kzLl4hT9FAU,Hr is the hottest lesbian at the Olympics,@Nangoncrazy,en,cycling
kzLl4hT9FAU,Very disappointed by the African brothers. They should be winning these races easily,@s1jhussain6,en,cycling
kzLl4hT9FAU,"Well, they didn’t.",@Dutchgguy1,en,cycling
kzLl4hT9FAU,@@Dutchgguy1 obviously. That's why I said it 🥴,@s1jhussain6,en,cycling
kzLl4hT9FAU,Wow! 🏃🍾❤️,@MikeFloutier,pl,cycling
kzLl4hT9FAU,What’s the most impressive is Grant Fisher coming back from 8th on the last lap to claim bronze!,@fidgetmackenzie9419,en,cycling
kzLl4hT9FAU,"The way he bows to the prince of Norway there after the race is class ❤

Also Jacobs song being played all over the stadium after the race, him singing about doing the King proud 😂❤",@Kilgallon1981,en,cycling
49VKppL7La0,femke bol 👍,@effwee13,da,cycling
49VKppL7La0,"The runner going round the OUTSIDE has a disadvantage, because he or she will have to make more distance. Still Bol ran a 47.9 anchor split. The only thing that was cooked her where Bol´s competitors (the American runner Caylyn Brown is the current 2nd fastest 400m runner in the US!) because they had no defence against that lap by Bol.",@DexterGordon-dr8qd,en,cycling
49VKppL7La0,Viva femke,@mehdighorbani2918,no,cycling
49VKppL7La0,the race is cooked ....anyone on that inside lane is at a disadvantage,@damiancharles4187,en,cycling
49VKppL7La0,"Euhm... Please don´t talk BS. FACTS: the runner going round the OUTSIDE has a disadvantage, because he or she will have to make more distance. Still Bol ran a 47.9 anchor split. The only thing that was cooked her where Bol´s competitors (the American runner Caylyn Brown is the current 2nd fastest 400m runner in the US!) because they had no defence against that lap by Bol.",@DexterGordon-dr8qd,en,cycling
49VKppL7La0,Bol fascinating,@LeChuck1717,it,cycling
49VKppL7La0,"I love how the commentators are completely wary of what Bol is capable of well before her explosive finish because shes done the exact same thing before. Her stride and hip flex is rediculous, other runners fade and shes not even flat out till the last push. One of my favourite current athletes",@bailzzzzzz,en,cycling
49VKppL7La0,Bolt and Bol my favourite athletes,@user-dz4kw4ug2i,en,cycling
49VKppL7La0,Femke Bol! Sowas sieht man selten: dass eine Läuferin bei einer 4x400m-Staffel auf der letzten Geraden drei andere Läuferinnen so grandios überholt! Fantastisch! Femke ist ein absolutes Ausnahmetalent auf diesen (kurzen) Strecken!,@erdmannradke-sieb3684,de,cycling
49VKppL7La0,"Britain should have used Charlie Dobson and Matt Hudson-Smith, then they would have won it",@arjunbhaduri7525,en,cycling
49VKppL7La0,"The amazing Dutch team and Femke, the unbelievaBOL!  Huge respect!",@user-kk3ox2yz3y,en,cycling
whUx-5mbLl0,"This shouldn't be in the Olympics, and am a B-Boy saying that. It's been around for 40 years and all of a sudden they like gotta have breaking.",@terrytees,en,cycling
whUx-5mbLl0,"They were both amazing and are both, now Olympians 🥇 

Thanks to both of these girls for redeeming/reanimating breakdancing after what raghun done to it",@hayfalahraoui8361,en,cycling
whUx-5mbLl0,"Breakdance and maybe even all kind of damce belong to a special kind of world Olympics 

Lest construct the world best dancer competition",@hayfalahraoui8361,en,cycling
whUx-5mbLl0,Herman Parkways,@DanielThomas-o2q,en,cycling
whUx-5mbLl0,"Loved fluidity of Ami and attitude of nicka
Was Australia a contender to?",@otorishingen8600,en,cycling
whUx-5mbLl0,Ami is so legit,@LovelyGlory,it,cycling
whUx-5mbLl0,They were both so good!!!!,@_holmesie_,en,cycling
whUx-5mbLl0,Well done Ami,@e.d.zenterdazoneofpain-totalga,it,cycling
whUx-5mbLl0,I also not at all any expert but  liked Nicka s dance and style. It's so natural to her!,@simplica1,en,cycling
whUx-5mbLl0,"Raygun's kangaroo move, tho.",@Thresholds,tl,cycling
iFXXk8WYiC4,"superb - cool calm and collected is right, that was beautifully run.",@lv3685,en,cycling
iFXXk8WYiC4,"More to come. She can beat Jamila's record. She has more to offer.
Erase that drug cheat from the books.",@charliemagri1669,en,cycling
iFXXk8WYiC4,Alle olimpiadi di Parigi 2024 questa corsa é stata la più emozionante insieme alla staffetta 4 x 400 mista. Keely Hodgkinson e Femke Bol devono avere qualcosa di soprannaturale e miracoloso se riescono a lasciarsi alle spalle le forti atlete di etnia afroamericana che oramai oggi dominano tutte le distanze dell'atletica.,@enricoc.948,it,cycling
iFXXk8WYiC4,"Moraa really pressed down the back straight and the final bend, she wanted to get in front of Keely. Keely's kick was immense, beautiful run race.",@thomasmain5986,en,cycling
iFXXk8WYiC4,That commentary deserves a gold also,@Kouroupettos243,en,cycling
iFXXk8WYiC4,It's like watching a (young) Kylie Minouge run ... beautifully! I hope Keely will break the world record one day.,@pandaplutten2573,en,cycling
iFXXk8WYiC4,"Brilliant, British and Beautiful. Keely is a ray of sunshine in the darkness of modern Britain.",@robertmac9057,en,cycling
iFXXk8WYiC4,Focus on the race not racism...,@paulgovan3507,en,cycling
iFXXk8WYiC4,This is never gonna get old. That last 80 metres.,@davidbrock2871,en,cycling
iFXXk8WYiC4,Gold with 22. Wonder how that happened?,@l.lewbowski6871,en,cycling
iFXXk8WYiC4,My guess is talent and hard work. I'm guessing you're a cynical person though who has to put a blight on everything. Good job nobody cares what you (try to) think,@Darrenski,en,cycling
ky89WzzvRM8,"Don't feel sorry for the person who made a mistake, this is a competitive sport! Page delivered on main stage, she messed up",@russcreaser,en,cycling
ky89WzzvRM8,Wo ist der Bockbaer ?😂,@christinelowe155,de,cycling
ky89WzzvRM8,Be very proud Miss Page. Outstanding.,@jayr6666,en,cycling
ky89WzzvRM8,My creaky knees ache watching this sport. Amazing young women.,@cdawg_sf,en,cycling
ky89WzzvRM8,She couldn’t stand CCP pressure …,@amazeus1980,en,cycling
ky89WzzvRM8,"Trampoline & breakdancing in the Olympics..Next it will be clown contest.
Go figure!",@mikebranston8559,en,cycling
ky89WzzvRM8,"trampoline has been in the Olympics since 24 years, go cry in a corner or show us how you do what these athletes are doing",@kthy31,en,cycling
ky89WzzvRM8,How is a fat guy her coach? Doesn't he need to demonstrate when coaching?,@Replicant-by1eh,en,cycling
ky89WzzvRM8,That's a sport too.... Waiting for sliding down water slides to be announced next year,@Thepokedek,en,cycling
ky89WzzvRM8,Das ist voll der Krimi!,@strandgirl1000,de,cycling
ky89WzzvRM8,"I would say, but maybe I am to pick, but the music while chinese workout was tooo loud...",@moabeats8507,en,cycling
2JInjYyEU1w,What a screw-up by the Brits ! 🤣,@ckzf1842,en,cycling
2JInjYyEU1w,Simply too strong,@leaphorn34,en,cycling
2JInjYyEU1w,The announcer was too focused on Britain to see America's even worse flag changes.,@ahmetozcan1426,en,cycling
2JInjYyEU1w,"Wow, the fastest women in the world. So powerful.",@eszterkovacs6381,en,cycling
2JInjYyEU1w,Wow Germany the only white squad winning a medal 🥉amazing!,@selini52,en,cycling
2JInjYyEU1w,Amazing! Gina Lueckenkemper was the fastest in that 100m flying start,@selini52,en,cycling
2JInjYyEU1w,Why is there a man running for america? 😂😂😂,@user-eh5il9po4e,en,cycling
2JInjYyEU1w,"Where do you see a man, psycho?",@mik9007,en,cycling
2JInjYyEU1w,Sha'Carri Richardson's look to the right was one of the most repulsive moments of the Olympics. epic but disgusting,@tamasfehervari7147,en,cycling
2JInjYyEU1w,Germany was first at the last change!,@MrMichaelEsser,en,cycling
2JInjYyEU1w,Amy Hunt for team GB screwed up the gold. Terrible receiving the baton on her leg and terrible handing off. Single handedly cost the team 2 to 3 tenths.,@FutureStyles,en,cycling
Q_6Q8r3hGKM,"En fútbol, dónde hay argentinos, hay JALEO, MALOS MODOS, sobre todo si pierden los argentinos, son malos perdedores, y  . . . a veces hasta malos ganadores.",@jag5380,es,cycling
Q_6Q8r3hGKM,África - Argentina.,@jag5380,es,cycling
Q_6Q8r3hGKM,Argentinia always gave me racist vibes,@naru1954,en,cycling
Q_6Q8r3hGKM,Every country in this world hate Argentina 😂😂,@dyracoffee3402,en,cycling
Q_6Q8r3hGKM,"Argentina 4-3 france😀
France 1-0 argentina🥱🤫
France 4-3 Argentina 😎",@karzanmuhammad9735,es,cycling
Q_6Q8r3hGKM,"I'm Argentine and I don't like those insulting chants, please don't accuse us and hate us all for what A FEW did....",@danidouxx,en,cycling
Q_6Q8r3hGKM,"Superb job, France! Argentina need to be kicked out of every tournament asap, so they can display their incredible whining skills.",@PBandJJJJJ,en,cycling
Q_6Q8r3hGKM,No win for pepsi😹,@idk92939,en,cycling
Q_6Q8r3hGKM,Viva la Argentina siempre carajo,@user-dm4mf5zi7m,es,cycling
Q_6Q8r3hGKM,"Menuda merienda de ""africanos"".......¡¡¡¡¡ Francia dicen !!!!!😒",@carboumen7661,es,cycling
C5n0BCzzdF8,Leon Marchand Tokyo Olimpic Games -400im 4.11.16. Paris Olimpic Games - 2024 4.02.95..  Tokyo Olimpic Games 2020  200im 1.58.39    .Paris Olimpic Games 2024 1.54.06 .  3 eyars -4-7 sk ?farma....,@maximadamenko4867,en,cycling
C5n0BCzzdF8,It's so funny that i didn't realise until halth trough the video that the yellow line was the world record line and not just the line Marchand was swimming right now 🤣,@asmoastro8487,en,cycling
C5n0BCzzdF8,"desperately rien du tout, we have the champion we deserve",@Houtube-ii2hw,en,cycling
C5n0BCzzdF8,why did leon marchand avoid dope test if he is clean????????????????????,@user-qf1fz5xg9c,en,cycling
C5n0BCzzdF8,"He didn't avoid anything, he correctly communicated that he would move to another place, it was the doping control people who made the mistake of the place, once the problem was solved they did the test on him and he was clean, always the same suspects from people like you",@tonysutherlandh4651,en,cycling
C5n0BCzzdF8,Bro is built different Honestly,@user-ts5qo5lg7s,en,cycling
C5n0BCzzdF8,He is amazing ❤❤,@chaos8776,en,cycling
C5n0BCzzdF8,Jhryfyfye6f6fyer7f77ef 0:07 0:07 0:07 0:09 0:09 0:09 0:10 0:10 0:10 0:10 0:11 0:11 0:11 0:11 0:12 0:12 0:12 0:13 0:13 0:13 0:13 0:14 0:14 0:14 0:14 0:15 0:15 0:15 0:15 0:16 0:16 0:16 0:16 5e5r66r6r6r7f7ue7f7ue7f7e7f7e7f 0:21 0:22 0:22 0:22 0:22 0:23 0:23 0:23,@IreneJosefina,cy,cycling
C5n0BCzzdF8,5e5g67ef7d7f,@IreneJosefina,cy,cycling
C5n0BCzzdF8,Just WOW!,@miadebrecin1071,de,cycling
C5n0BCzzdF8,superbe !!!!,@user-ky3ot3cu2w,id,cycling
EHnNJKSE87Y,Олипедиаду не смотрел... Зашел глянуть мжЫка! Дяденька! Вы супер!,@artembasenko2762,ru,cycling
EHnNJKSE87Y,Im dumb why did a guy who both shots out shot him lose and how did turk go from over 20 to 18 but serb like 12 to 19?????,@boym8123,en,cycling
EHnNJKSE87Y,Ülkemize bu gururu yaşattığı için Yusuf Dikeç'e teşekkür ederiz 🇹🇷,@WithNuray,tr,cycling
EHnNJKSE87Y,Sampiyonlugu war altın ozaman gözlük takmıyordu sacları uyumlu olsun diye gümüs aldı,@hasancansagr8664,tr,cycling
EHnNJKSE87Y,"He didn't got the silver medal,the silver medal got him",@amiralia3669,en,cycling
EHnNJKSE87Y,Prohaska Vista,@SteinbeckWanda-s2s,et,cycling
EHnNJKSE87Y,🇹🇷,@iamozlemcoach,unknown,cycling
EHnNJKSE87Y,"For those wondering, No Gear Hitman got the highest score (151), but he got silver because his teammate got worst score (145). The Serbians got 149-149 and they won gold",@mugairkaya5024,en,cycling
EHnNJKSE87Y,Yussuf looks like he just dropped his kids off at kindergarten,@inframatic,da,cycling
EHnNJKSE87Y,🇹🇷,@a.c.u3837,unknown,cycling
sUgqH1IXQQw,Paris and Tokyo?,@roguehades2348,en,
sUgqH1IXQQw,IS THAT SUPREME LEADER BRITANY BROSKI,@xxhaiydvexx5951,en,
sUgqH1IXQQw,London vettu vettu,@user-th7kr3lt6b,fi,
sUgqH1IXQQw,Scootering woud be cool in the olympics,@Foxy_54321,en,
sUgqH1IXQQw,The malasian olympics gonna be fire 🔥,@latapandey7505,en,
sUgqH1IXQQw,Bring back penguin sledding.,@not_the_useless_cake856,id,
sUgqH1IXQQw,Tokyo,@gamingcody27,lt,
sUgqH1IXQQw,"Gold is incredibly soft, so if it was gold it WOULD leave the bite marks.  This is the same reason why old prospectors would bite the gold they found.  Fools gold would not leave bite marks and real good would.",@BackYardScience2000,en,
sUgqH1IXQQw,In ancient Greece they were not getting medals but a stick from an olive tree,@emispil,en,
sUgqH1IXQQw,"Los Angeles Olympics, 2028",@AKASHSINGH-tz7hw,en,
LwrtLfCTDYQ,Only back?,@piotrfret562,en,cycling
LwrtLfCTDYQ,Such an ugly show from Lyles after the race.,@Ardit-kq4bt,en,cycling
LwrtLfCTDYQ,"Thrilling was the 100m, for Thompson who got nervous and did slow down...",@Cercasuinternet,en,cycling
LwrtLfCTDYQ,"I just can't  believe  kenny bednarek  beat  Noah lyles twice at the olympic games , while not having a faster PR in the 200 metres what the hell🤣🤣🤣",@aaronmbaye6498,en,cycling
LwrtLfCTDYQ,..winner looks about 5 inches shorter than 6ft 5inch Usain Bolt - so stride-length difference will be even greater - yet he almost matched Bolt's 200m world record - as the commentator points out..,@paulgovan3507,en,cycling
LwrtLfCTDYQ,...black men are powerful on the track 😍😍 KINGS! Congratulations TEBOGO!,@IAmOfwona,en,cycling
LwrtLfCTDYQ,There were not enough performance enhancing drugs in the planet to make the usa team beat a third world country lol,@hugonavakopp,en,cycling
LwrtLfCTDYQ,Te poco prima della arrivo un po' rallentato perché stava guardando se no Poteva battere il record,@abdelkadernassih5598,it,cycling
